Existem três níveis de relações jurídicas, são eles: 1, 2 e 3.

As relações de nível 1 são as classificaçõoes mais gerais e abrangentes de uma processo juridico, onde todas as relações juridicas de nível 2 e 3 pertencem a uma relação de nível 1, assim como toda relação de nível 3 pertence a uma relação de nível 2, deste modo, relações de nível 3 são as menos abrangentes, menos generalistas e as mais específicas. 
Ou seja, uma relação de nível 2 é uma especificação de uma relação de nível 1 e uma relação de nível 3 é uma especificação de uma relação de nível 2.

Logo abaixo estão todas as relações:

Nível,Relação Pai,Relação,Verdade de base,Comentários
1,,Relação jurídica privada,"casos em que as partes envolvidas interagem primariamente com base em interesses particulares, regidos principalmente pelo direito privado. por exemplo: Relações entre pessoas físicas e/ou jurídicas de direito privado; Relações de consumo, incluindo aquelas envolvendo serviços públicos essenciais (como fornecimento de água, energia elétrica, telecomunicações), independentemente de o prestador ser entidade pública ou privada; Relações contratuais entre particulares não caracterizadas como de consumo.",""
2,Relação jurídica privada,Relação cível,"casos que envolvem particulares que não são consumidores e/ou fornecedores.",""
3,Relação cível,Relação contratual,"casos nos quais particulares discutem um contrato como contratantes e contratados.",""
3,Relação cível,Relação de responsabilidade civil,"casos nos quais particulares discutem a indenização de um dano na qualidade de agente de um ato ilícito e de vítima do ato ilícito."",""
3,Relação cível,Relação empresarial,"casos nos quais particulares discutem as atividades de uma empresa na qualidade de sócios.",""
3,Relação cível,Relação reais (posse e propriedade),"casos nos quais particulares discutem o direito de posse, domínio e condomínio de bens móveis e imóveis.",""
3,Relação cível,Relação de família,"casos nos quais particulares discutem o direito de exercer a parentalidade, o casamento e a convivência na qualidade de membros de uma família, como pais e filhos, cônjuges e companheiros.",""
3,Relação cível,Relação sucessória,"casos nos quais particulares discutem o direito de herança ou de legado sobre um patrimônio deixado por uma pessoa falecida.",""
1,,Relação processual,"casos nos quais os envolvidos são partes de um processo judicial tanto como pessoas particulares quanto como pessoas públicas (juízes, promotores, procuradores, defensores e ministros) [sujeitos], e discutem questões exclusivamente processuais [objeto] como citação e intimação, observância do procedimento correto, produção de provas, pagamento de custas e de honorários, cabimento de recursos, prazos e legitimidade das partes para propor a ação ou o recurso [temas do objeto]","Retirada de: THEODORO JÚNIOR, Humberto. Curso de direito processual civil. v. 1. 65. ed. – Rio de Janeiro: Forense, 2024, p. 194-195"
2,Relação jurídica privada,Relação de consumo,"casos nos quais os particulares são consumidores (destinatário final do produto ou serviço) e/ou fornecedores (quem comercializa produtos ou serviços).",""
3,Relação de consumo,Relação de transporte,"casos nos quais há um consumidor e um fornecedor de produtos e serviços de transporte de passageiros, como o transporte comercial aéreo, os taxis e os transportes por aplicativos",""
3,Relação de consumo,Relação de ensino,"casos nos quais há um consumidor e um fornecedor de produtos e serviços de ensino, seja ele fundamental, médio e/ou superior.",""
3,Relação de consumo,Relação de seguro,"casos nos quais há um consumidor e um fornecedor de produtos e serviços de seguro, como os seguros de bens e os seguros de vida.",""
3,Relação de consumo,Relação de entretenimento,"casos nos quais há um consumidor e um fornecedor de produtos e serviços de entretenimento, como cinema, teatro, casas noturnas de show, parques e outras atividades culturais ",""
3,Relação de consumo,Relação de varejo,"casos nos quais há um consumidor e um fornecedor de produtos e serviços de varejo, como fornecimento de eletrodomésticos, como geladeira, e eletroeletrônicos, como celular e computadores, além de bens móveis, como mesas e cadeiras, e alimentos de consumo diário perecíveis e não perecíveis",""
3,Relação de consumo,Relação bancária,"casos nos quais há um consumidor e um fornecedor de produtos e serviços bancários, de instituições financeiras, como serviços de crédito e pagamentos.",""
3,Relação de consumo,Relação com concessionária,"casos em que um consumidor utiliza serviços essenciais concedidos pelo Estado a empresas privadas para exploração, como fornecimento de água, energia elétrica e serviços de telecomunicações (telefonia e internet), e há uma disputa jurídica sobre o cumprimento das obrigações contratuais, tarifas cobradas ou qualidade do serviço prestado por parte da concessionária.",""
3,Relação de consumo,Relação de responsabilidade civil,"casos nos quais particulares discutem a indenização de um dano na qualidade de agente de um ato ilícito e de vítima do ato ilícito.",""
1,,Relação jurídica pública,"casos em que pelo menos uma das partes é um ente público atuando em função típica de Estado, com base no interesse público e regidos primariamente pelo direito público. Inclui: Relações entre cidadãos e o Estado no exercício do poder de polícia, tributação, regulamentação; Relações entre órgãos públicos ou entre diferentes entes da administração pública; Relações decorrentes de concursos públicos, licitações e contratos administrativos; Relações referentes à responsabilidade civil do Estado, exceto quando caracterizadas como relação de consumo; Relações previdenciárias envolvendo regimes públicos de previdência. A prestação de serviços públicos essenciais, mesmo quando realizada por entes públicos, é classificada como relação jurídica privada (especificamente, relação de consumo) quando envolve o usuário final do serviço.",""
2,Relação jurídica pública,Relação penal,"casos que envolvem particulares que cometeram crime, vítimas do crime e ministério público, e nos quais se discute a possibilidade de o estado aplicar alguma pena ao suposto criminoso.",""
2,Relação jurídica pública,Relação tributária,"casos que envolvem contribuintes e fazenda pública e nos quais se discute o dever de pagar tributo."",""
2,Relação jurídica pública,Relação administrativa,"casos que envolvem pessoas físicas ou jurídicas que exercem uma atividade de caráter e finalidade pública, sem fins lucrativos, e que integram a Administração Pública na qualidade de policiais, auditores e gestores públicos",""
2,Relação jurídica pública,Relação previdenciária,"casos nos quais pessoas que exercem alguma atividade laborativa, ou os dependentes financeiros delas, discutem com pessoas jurídicas de direito público como o INSS o direito a um amparo financeiro provido pelo estado, chamado de benefício previdenciário, em razão de um evento de risco como a incapacidade temporária ou permanente, como a maternidade, em especial a maternidade gestante, como o desemprego voluntário, como a situação de baixa renda e como a morte.",""
2,Relação jurídica pública,Relação trabalhista,"casos nos quais as partes envolvidas, sejam elas públicas ou privadas [sujeitos], fazem parte de um contrato de trabalho [objeto] e discutem a partir dele questões relacionadas às várias modalidades de emprego do trabalhador, como subordinação, horas de trabalho, salário, verbas rescisórias, demissão [temas do objeto]","Retirada de: BEZERRA LEITE, Carlos Henrique. Curso de direito do trabalho. 16. ed. – São Paulo: Saraiva Jur, 2024, p. 25"
